post,presentation
"title=""Banky W and Mercy Chinwo's New Song Featured on 234Radio"" key_findings=PostFindings(findings=[KeyFinding(type='Music Promotion', description='The post announces the playing of a new song by Banky W featuring Mercy Chinwo on 234Radio.'), KeyFinding(type='Live Broadcasting', description='Listeners can tune in live via the provided link to 234Radio.'), KeyFinding(type='User Engagement', description='The post comes from a notable user with a significant following, increasing its reach.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the streaming link for availability.', rationale='Ensuring that the link provided works correctly will enhance user experience and trust.'), RecommendedAction(action='May warrant monitoring for any user reactions or engagement spikes.', rationale='As this is a music promotion post, increased interest could lead to discussions or misinformation regarding the song or its artists.'), RecommendedAction(action='No immediate action appears necessary.', rationale='The post does not contain misleading information but serves as a promotional update.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1627409582548041728', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Not urgent', 'max_amplifiability': 'Low', 'priority_score': 0.249, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.08), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.15)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.06)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.027), 'friends': np.float64(0.012), 'total': np.float64(0.039)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 10973, 'user_friends': 1152, 'top_claims': ['Now Playing on 234Radio, Banky W BankyW Ft. Mercy Chinwo MMercychinwo - Selense.'], 'text': 'Now Playing on 234Radio, Banky W BankyW Ft. Mercy Chinwo MMercychinwo - Selense. Listen live on https:t.coUCHAOINxUh', 'user_name': '234𝐑𝐚𝐝𝐢𝐨 🌍', 'user_location': 'UK, USA, South Africa, Nigeria', 'user_description': 'Africa’s premium internet radio. \r\nYour one-stop-shop for #Music #News #Sport #Entertainment & #Lifestyle. \r\n...exporting Africa to the world.', 'user_created': '2013-07-17 16:30:59+00:00', 'spam_score': 0.255748031496063}"
"title='Atiku PDP Claims Victory in Sokoto Presidential Vote' key_findings=PostFindings(findings=[KeyFinding(type='Claim about election results', description='The post claims that Atiku of the PDP has won the presidential election in Sokoto State.'), KeyFinding(type='User credibility', description='The post originates from the Centre for Democracy and Development, a recognized entity in West Africa.'), KeyFinding(type='Emotional and political urgency', description=""The post is framed within the context of the highly charged 'NigeriaDecides' narrative, indicating significant emotional engagement."")]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the referenced claim', rationale='The election outcome presented could be subject to scrutiny; clarification is needed to confirm the accuracy of election results.'), RecommendedAction(action='Could be flagged for potential misinformation', rationale='Given the high stakes of the presidential elections, any unverified claims might mislead voters.'), RecommendedAction(action='May warrant monitoring for engagement spike', rationale='As a high-priority post from a notable organization, engagement levels may rise rapidly, necessitating close observation.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1630628017692131328', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.861, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.14)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.002), 'total': np.float64(0.002)}, 'influence_score': {'followers': np.float64(0.031), 'friends': np.float64(0.013), 'total': np.float64(0.044)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 1.0, 'user_followers': 45730, 'user_friends': 1733, 'top_claims': ['Atiku PDP wins the presidential vote in Sokoto State.'], 'text': 'NigeriaDecides NigeriaDecides2023 Atiku PDP wins the presidential vote in Sokoto State. Both Atiku PDP and T https:t.coqfTqeyouoJ', 'user_name': 'CDD West Africa', 'user_location': 'Headquarters - Abuja, Nigeria', 'user_description': 'Centre for Democracy and Development  |  Strategic analyses and advocacy in West Africa  |  @CDDWestAfrica_H | @CDDWarRoom| @buharimeter | @WA_Insights', 'user_created': '2011-07-13 09:57:07+00:00', 'spam_score': 0.2719327731092437}"
"title='1 Bedroom Flat for Rent in Enugu for 350k' key_findings=PostFindings(findings=[KeyFinding(type='Claim', description='The post claims a 1 bedroom flat is available for rent at New Haven, Enugu for 350,000 Naira.'), KeyFinding(type='Promotional Content', description='The post promotes a real estate service, Elite Agents, for property inquiries.'), KeyFinding(type='Direct Contact Information', description='Contact information is provided for interested renters, suggesting a commercial purpose behind the post.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the property availability and rental price.', rationale='Ensuring the accuracy of rental claims can help prevent misinformation in real estate postings.'), RecommendedAction(action='Could be flagged for potential misleading advertising if no verification is found.', rationale='Misrepresentation in real estate can lead to consumer dissatisfaction and legal issues.'), RecommendedAction(action='May warrant monitoring for user engagement spikes.', rationale='Tracking engagement could provide insights into the reliability and popularity of similar postings.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1618492967731224576', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Not urgent', 'max_amplifiability': 'Low', 'priority_score': 0.196, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.08), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.15)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.0), 'total': np.float64(0.02)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.014), 'friends': np.float64(0.012), 'total': np.float64(0.026)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': False, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 111, 'user_friends': 1213, 'top_claims': ['This is a 1 bedroom flat available for rent at New Haven, Enugu.'], 'text': 'Rent 350k. This is a 1 bedroom flat available for rent at New Haven,Enugu. For more information contact Elite Agen https:t.codMiaO1ECFP', 'user_name': 'Elite Agents', 'user_location': 'Enugu', 'user_description': 'For your properties in Enugu \r\nSALE and RENT CALL 07053719645', 'user_created': '2020-03-19 11:39:26+00:00', 'spam_score': 0.2542857142857143}"
"title='Peter Obi Votes: 2023 Election Update' key_findings=PostFindings(findings=[KeyFinding(type='Claim Confirmation', description='The post claims that Peter Obi cast his vote in the 2023 elections.'), KeyFinding(type='User Engagement', description='The post has received a low engagement score with only 1 retweet and 7 favorites.'), KeyFinding(type='Contextual Relevance', description='The posting account is linked to an official radio station in Nigeria focusing on political content.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the claim of Peter Obi casting his vote.', rationale='This claim may carry significance during the electoral period and could influence voter behavior if confirmed.'), RecommendedAction(action='Could be flagged for low engagement but contains potentially important political information.', rationale='Despite low engagement, the content may still contribute to significant discussions in the electoral context.'), RecommendedAction(action='May warrant monitoring for further developments in the 2023 elections.', rationale='Election-related posts can gain traction, and it would be prudent to track them as the situation unfolds.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1629407361101168640', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Not urgent', 'max_amplifiability': 'Low', 'priority_score': 0.226, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.08), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.15)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.03)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.007), 'total': np.float64(0.011)}, 'influence_score': {'followers': np.float64(0.026), 'friends': np.float64(0.009), 'total': np.float64(0.035)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 1.0, 'favorites': 7.0, 'user_followers': 9059, 'user_friends': 173, 'top_claims': ['Peter Obi Casts his vote at his Polling Unit'], 'text': 'Peter Obi Casts his vote at his Polling Unit 2023ELECTION NigeriaDecides electionreport peterobifor2023 https:t.coYiZxsIn0UL', 'user_name': 'Planet FM Uyo', 'user_location': 'Akwa Ibom, Nigeria', 'user_description': 'Official twitter handle of PLANET FM. The best in Politics,Music,Entertainment etc. South-South Nigeria. Studio Lines: 09022231011& 08176248565 IG:@Planet101fm', 'user_created': '2018-05-25 10:28:19+00:00', 'spam_score': 0.2659259259259259}"
"title=""Tonye Cole Appears Tonight on Channels TV's Sunday Politics"" key_findings=PostFindings(findings=[KeyFinding(type='Announcement', description='The post promotes an upcoming television appearance by Tonye Cole.'), KeyFinding(type='Local Engagement', description='The message targets residents of Rivers State to join the event.'), KeyFinding(type='Social Media Interaction', description='The post has low engagement with only a few retweets and favorites.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the event details mentioned in the post.', rationale=""To ensure that the information about Tonye Cole's appearance is accurate and not misleading.""), RecommendedAction(action='May warrant further monitoring for audience engagement trends.', rationale='The post has low engagement, indicating it may not significantly influence public opinion.'), RecommendedAction(action='Could be flagged for potential misinformation if similar claims arise.', rationale='The claim could be part of larger election-related information, which warrants scrutiny.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1632433790688608512', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Not urgent', 'max_amplifiability': 'Low', 'priority_score': 0.229, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.08), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.15)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.03)}, 'engagement_score': {'retweets': np.float64(0.006), 'favorites': np.float64(0.005), 'total': np.float64(0.011)}, 'influence_score': {'followers': np.float64(0.023), 'friends': np.float64(0.015), 'total': np.float64(0.037)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 2.0, 'favorites': 4.0, 'user_followers': 2481.0, 'user_friends': 4993, 'top_claims': ['join TonyeCole1 tonight on Sunday Politics on Channels TV by 8pm with Seun Okinbaloye'], 'text': 'My Rivers people join TonyeCole1 tonight on Sunday Politics on Channels TV by 8pm with Seun Okinbaloye. . . https:t.coI95KKQ26nw', 'user_name': 'Rivers_Man_🇳🇬', 'user_location': 'Rivers State, PH, Nigeria', 'user_description': '|| Rivers Boi || Government & Politics || News & Media || Researcher/Writer || @Chelseafc ||', 'user_created': '2018-11-10 00:37:36+00:00', 'spam_score': 0.2548148148148148}"
"title='Cost of Labor Party Presidential Form Under Scrutiny' key_findings=PostFindings(findings=[KeyFinding(type='Claim Verification', description='The post claims that the Labor Party Presidential form costs 30 million naira.'), KeyFinding(type='Engagement Indicator', description='The post has gained some engagement, with 2 favorites.'), KeyFinding(type='User Position', description='The user aligns with the Labor Party and advocates for political discussions without fear.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the claim about the cost of the Labor Party Presidential form.', rationale='The accuracy of the claim could influence public perception of the party.'), RecommendedAction(action='Could be flagged for potential misinformation regarding political financing.', rationale='This claim may affect audience trust if proven incorrect.'), RecommendedAction(action='May warrant further monitoring for engagement patterns.', rationale='The post reflects user sentiment and could signal rising interest in the Labor Party.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1627303052750524416', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.544, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.07)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.004), 'total': np.float64(0.004)}, 'influence_score': {'followers': np.float64(0.012), 'friends': np.float64(0.008), 'total': np.float64(0.02)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 2.0, 'user_followers': 68, 'user_friends': 93, 'top_claims': ['Labor Party Presidential form cost 30millionnaira.'], 'text': 'Small research: Labor Party Presidential form cost 30millionnaira. So give or take PeterObi paid at least https:t.coWoQOYcqa1U', 'user_name': 'JJ', 'user_location': 'Alkebulan ', 'user_description': '#Bitcoin To live in Alkebulan where you can talk to the president without fear or favor like Sowore', 'user_created': '2021-08-24 17:12:56+00:00', 'spam_score': 0.2551515151515152}"
"title='Land for Sale: Ikoyi Towers Plots Listed' key_findings=PostFindings(findings=[KeyFinding(type='Claim of Property Sale', description='The post advertises the sale of nine different plots of land in Ikoyi, Nigeria.'), KeyFinding(type='Specific Measurements Provided', description='The seller claims the land plots measure 1.808 and 2.766 square meters.'), KeyFinding(type=""User's Professional Background"", description='The user is a real estate agent specializing in land and housing sales.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the land sale details provided.', rationale='To ensure the accuracy of the advertised property information and prevent potential scams.'), RecommendedAction(action='May warrant further monitoring for user engagement.', rationale='To observe if the ad receives increased attention that could lead to misinformation.'), RecommendedAction(action='Could be flagged for review based on the claims made.', rationale='To assess if there are any legal implications related to real estate advertising in Nigeria.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1621166360108863488', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Not urgent', 'max_amplifiability': 'Low', 'priority_score': 0.195, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.08), 'amplifiability_component': np.float64(0.07), 'total': np.float64(0.15)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.0), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.0), 'total': np.float64(0.02)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.002), 'total': np.float64(0.006)}, 'influence_score': {'followers': np.float64(0.012), 'friends': np.float64(0.006), 'total': np.float64(0.018)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': False, 'emotional_intensity': False, 'controversy_level': False, 'simplicity': True, 'retweets': 1.0, 'favorites': 1.0, 'user_followers': 62, 'user_friends': 41, 'top_claims': ['Nine Different Plots in Ikoyi Towers Close, Second Avenue, Old Ikoyi Measuring: 1.808 SQMS 2.766'], 'text': 'LAND FOR SALE Nine Different Plots in Ikoyi Towers Close, Second Avenue, Old Ikoyi Measuring: 1.808 SQMS 2.766 https:t.costlcHOWNXu', 'user_name': 'Ellehomes', 'user_location': 'Nigeria', 'user_description': 'I’m into land sales, House sales and Service apartments. I’ve got lovely payment plans and affordable apartments for y’all : https://t.co/Hz318xPD24', 'user_created': '2022-07-26 11:38:37+00:00', 'spam_score': 0.2869360902255639}"
"title='Rhodes-Vivour Critiques INEC on Staff Payment Issues' key_findings=PostFindings(findings=[KeyFinding(type='Claim about a political critique', description='Rhodes-Vivour addresses INEC regarding non-payment of ad hoc staff.'), KeyFinding(type='Emotional engagement', description='The post is framed to elicit concern over electoral management.'), KeyFinding(type='Controversial subject matter', description='This issue is likely to resonate with voters and political figures.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the referenced claim regarding INEC's payment issues."", rationale=""This could clarify the accuracy of Rhodes-Vivour's assertion.""), RecommendedAction(action=""Could be flagged for potential misinformation about INEC's operational practices."", rationale='Addressing unpaid staff could misrepresent the current situation without fact-checking.'), RecommendedAction(action='May warrant monitoring for engagement spikes due to the politically sensitive nature of the claim.', rationale='Increased interaction might escalate the spread of potentially misleading information.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1631063751720935424', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.567, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.11)}, 'engagement_score': {'retweets': np.float64(0.0), 'favorites': np.float64(0.0), 'total': np.float64(0.0)}, 'influence_score': {'followers': np.float64(0.004), 'friends': np.float64(0.003), 'total': np.float64(0.007)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 0.0, 'favorites': 0.0, 'user_followers': 3.0, 'user_friends': 6, 'top_claims': ['Rhodes-Vivour tackles INEC over unpaid ad hoc staff, late arrivals of materials'], 'text': 'Rhodes-Vivour tackles INEC over unpaid ad hoc staff, late arrivals of materials TheCable https:t.cogjEhBYVcDU', 'user_name': 'Chief baby', 'user_location': nan, 'user_description': 'we stand with the greatest and peaceful men of the days where we lived in harmony', 'user_created': '2023-01-16 22:07:42+00:00', 'spam_score': 0.2584210526315789}"
"title=""Peter Obi's Collaborative Approach with LP Lawmakers Explained"" key_findings=PostFindings(findings=[KeyFinding(type='Claim', description='The post claims that Peter Obi will collaborate with Labour Party lawmakers rather than oppose APC and PDP lawmakers.'), KeyFinding(type='Engagement', description='The post shows moderate engagement with 1 retweet and 1 favorite.'), KeyFinding(type='User Position', description=""The user seems to express a positive outlook towards Peter Obi's collaborative political strategy."")]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the claim about Peter Obi's plans with LP lawmakers."", rationale='The assertion about political strategies might impact public perception and is essential to confirm.'), RecommendedAction(action='May warrant monitoring for engagement spikes on related political discussions.', rationale=""The post's moderately urgent nature and the user's follower count suggest potential for increased engagement.""), RecommendedAction(action='Could be flagged for potential misinformation if the claim lacks substantiation.', rationale=""Given the claim's nature, it could spread misinformation if not grounded in verified facts."")]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1629560750560759808', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.561, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.07)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.002), 'total': np.float64(0.006)}, 'influence_score': {'followers': np.float64(0.022), 'friends': np.float64(0.013), 'total': np.float64(0.035)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': True, 'simplicity': True, 'retweets': 1.0, 'favorites': 1.0, 'user_followers': 2284, 'user_friends': 1427, 'top_claims': [""Peter Obi won't be fighting APC and PDP lawmakers, he will instead be working with LP lawmakers.""], 'text': ""Top to Bottom! Peter Obi won't be fighting APC and PDP lawmakers, he will instead be working with LP lawmakers. https:t.co2Y9lWMdylI"", 'user_name': 'SeyiB', 'user_location': 'Christ   ', 'user_description': 'Loveworld// Ageless// Fearless// Deathless//Righteous// 1stFlightGang!!!', 'user_created': '2010-08-27 10:14:30+00:00', 'spam_score': 0.2688842544316997}"
"title='Gov Ayade Acknowledges Loss in Senate Race to Jarigbe' key_findings=PostFindings(findings=[KeyFinding(type='Factual Claim', description='Governor Ayade lost his senate bid as the PDP candidate.'), KeyFinding(type='Political Outcome', description='Jarigbe clinched the senate seat in the recent elections.'), KeyFinding(type='User Credibility', description='Reuben Abati is a notable journalist and former presidential spokesperson.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action='Consider verifying the election results mentioned.', rationale=""Verification may confirm the accuracy of the claim regarding Ayade's loss.""), RecommendedAction(action='May warrant monitoring for engagement spikes around election news.', rationale='The topic is politically sensitive and may attract significant public interest.'), RecommendedAction(action='Could be flagged for potential misinformation if disputed.', rationale='Political statements can be contested and should be fact-checked to ensure truthfulness.')]) process='Presentation completed' status='success' message=None","{'post_id': 'original_ngt_1630608293155467264', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Moderately urgent', 'max_amplifiability': 'Medium', 'priority_score': 0.612, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.24), 'amplifiability_component': np.float64(0.21), 'total': np.float64(0.45)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.0), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.03), 'famous_entities': np.float64(0.01), 'total': np.float64(0.1)}, 'engagement_score': {'retweets': np.float64(0.004), 'favorites': np.float64(0.006), 'total': np.float64(0.01)}, 'influence_score': {'followers': np.float64(0.04), 'friends': np.float64(0.013), 'total': np.float64(0.052)}, 'context_penalty': 0.0}, 'requires_additional_context': False, 'is_famous_poster': True, 'famous_entities_identified': True, 'emotional_intensity': False, 'controversy_level': True, 'simplicity': True, 'retweets': 1.0, 'favorites': 6.0, 'user_followers': 886602, 'user_friends': 1392, 'top_claims': ['Gov Ayade loses senate bid as PDP candidate, Jarigbe clinches seat'], 'text': 'ICYMI Gov Ayade loses senate bid as PDP candidate, Jarigbe clinches seat Nigeria NigeriaDecides2023 https:t.cobNDStWnZpx', 'user_name': 'Reuben Abati', 'user_location': 'Nigeria ', 'user_description': 'Journalist, Writer, Official Presidential Spokesperson, Nigeria, 2011-2015, Senior Research Associate, National Open University of Nigeria, TV Anchor, Arise TV', 'user_created': '2012-06-04 06:40:07+00:00', 'spam_score': 0.2753846153846154}"
"title=""Misinformation Alert: Abba Kyari's Cremation Claim"" key_findings=PostFindings(findings=[KeyFinding(type='Claim Verification', description='The claim states that Abba Kyari was cremated after his death.'), KeyFinding(type='Emotional Engagement', description=""The post expresses sorrow and highlights the significance of Kyari's death.""), KeyFinding(type='Social Media Impact', description='The post has garnered substantial engagement, with 120 retweets and 300 favorites.')]) recommended_actions=FactCheckerRecommendations(recommendations=[RecommendedAction(action=""Consider verifying the claim about Abba Kyari's cremation."", rationale=""The claim is significant and may impact public perception, given Kyari's controversial status.""), RecommendedAction(action='Could be flagged for potential misinformation.', rationale='The nature of the claim is contentious and requires factual checking to avoid spreading false information.'), RecommendedAction(action='May warrant monitoring for engagement spikes.', rationale='Given the high levels of engagement, tracking further interactions could uncover broader misinformation trends.')]) process='Presentation completed' status='success' message=None","{'post_id': 'generated_gt_b930291d4d9aaf9acb7ac1a0ff30ec81', 'has_checkworthy_claims': True, 'num_claims': 1, 'max_urgency': 'Very urgent', 'max_amplifiability': 'High', 'priority_score': 0.852, 'priority_score_breakdown': {'base_score': {'urgency_component': np.float64(0.36), 'amplifiability_component': np.float64(0.315), 'total': np.float64(0.675)}, 'boost_from_flags': {'emotional_intensity': np.float64(0.04), 'controversy_level': np.float64(0.04), 'simplicity': np.float64(0.02), 'famous_poster': np.float64(0.0), 'famous_entities': np.float64(0.01), 'total': np.float64(0.11)}, 'engagement_score': {'retweets': np.float64(0.026), 'favorites': np.float64(0.019), 'total': np.float64(0.045)}, 'influence_score': {'followers': np.float64(0.023), 'friends': np.float64(0.01), 'total': np.float64(0.033)}, 'context_penalty': 0.01}, 'requires_additional_context': True, 'is_famous_poster': False, 'famous_entities_identified': True, 'emotional_intensity': True, 'controversy_level': True, 'simplicity': True, 'retweets': 120, 'favorites': 300, 'user_followers': 2500, 'user_friends': 300, 'top_claims': ['Abba Kyari was cremated after his passing.'], 'text': ""Just heard that Abba Kyari was cremated after his passing. It's a significant moment in our history. Rest in peace. #AbbaKyari #Nigeria #RIP"", 'user_name': 'CivicWatcher', 'user_location': 'Lagos, Nigeria', 'user_description': 'Passionate about social justice and current events.', 'user_created': '2020-01-15 10:30:00', 'spam_score': 0.0}"
